RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30
102001,0,United States,country,,1232.070119946545,1238.758734191836,1247.8108231179876,1257.6629807803574,1267.3463636748918,1275.7413998236593,1281.9147645123735,1285.618926454713,1287.3540471178992,1287.8012433248205,1288.1009111988722,1288.6654720867086,1291.8911053766954,1297.06971762464,1303.611226313491,1313.6541239573603,1323.3295915005344,1332.6247839603766,1335.626429383926,1336.8956843143158,1335.8733903239322,1332.8270679332147,1330.1092537584884,1327.7434994831283,1334.382130322619,1342.9644804289032,1355.7708333129972,1364.497129670726,1373.8230687346836,1380.9913894987008,1385.8284193753443,1387.494141285369,1387.8938637573665,1386.5403211641121,1386.5640969081085,1387.6253744686767,1392.710431844192,1400.5074680769956,1410.5586159548034,1420.68642950697,1429.2579145769646,1436.9449086404804,1442.3705340400645,1445.564643844359,1445.127471033678,1444.3929425794208,1445.0298438062046,1447.3076390978517,1452.0296636761984,1458.7068809800855,1469.0483259362416,1479.3442653552406,1489.2777389793762,1497.5646070751866,1503.5548572495602,1506.9151977909892,1507.0540101504118,1505.9617013919194,1505.086509336058,1506.299402026602,1511.5555439523907,1519.9679651115146,1528.4173475938028,1528.8881079977957,1527.628319450582,1527.617249363988,1532.6043544822883,1534.1804063390196,1532.162315586483,1530.3089290040118,1531.1044788991576,1533.516869190286,1539.591140098888,1548.7335547742753,1564.1365874152534,1585.0008038927633,1612.1955899274549,1643.1356209123248,1675.200062364672,1705.1561239423356,1729.6208059258347,1745.4681413718938,1756.382517293871,1766.7205651948161,1778.6585547451,1794.7269353181678,1811.5840424740045,1832.7233638376517,1855.0707194874728,1878.029292587688,1897.3590094390338,1908.6776072751488,1912.3047209096776,1908.904636281517,1902.9295084668768,1899.6641229464408,1900.9279945488663,1906.814099526262,1917.0150159266436,1928.1380050201976,1941.3821328408162,1952.2554910570352,1963.833747337403,1971.407109451405,1974.8797135911486,1973.0820373523861,1968.2235368946276,1964.8210385434484,1967.1712139125366,1974.5403842328483,1985.5889268384658,1997.2187646044779
394913,1,"New York, NY",msa,NY,2332.14188713212,2348.1021636406986,2366.118115955263,2388.504888562679,2404.4526969062567,2422.4231035124867,2434.058938321527,2444.230862336476,2447.3986337061438,2443.7997305830772,2434.5955699175256,2424.519468813234,2422.3769596800776,2426.0039045625713,2434.4192662490163,2448.271103986801,2465.7088095639533,2483.857401620212,2495.897831093085,2500.4097673885517,2498.8885938330523,2490.497866919615,2480.90518600663,2464.016683152937,2462.206129898067,2463.6294152395144,2479.547335255418,2491.630831273634,2510.2574975447947,2525.753784675598,2536.8500126117797,2538.950464051206,2537.128731113176,2523.4244523763905,2507.9211545605895,2493.558598944052,2491.3368537777615,2499.0173564357124,2512.381243045534,2532.8299452161364,2551.365730236258,2569.5308424744585,2582.2899243840375,2591.4331765417996,2592.0385535322894,2582.308139432434,2570.868745804219,2560.242394626869,2559.952754927405,2568.945506218451,2584.0001719479596,2601.6662060211434,2622.6585014662282,2645.413134591693,2661.1811610432633,2668.6683054639548,2666.3022427831806,2661.8957540430983,2648.928023031528,2641.679832346371,2640.8625603753085,2655.053123604256,2664.40135298817,2657.745746559038,2640.0749166993246,2616.7650192345554,2591.519607108571,,,2446.7604528770976,2416.3672427486927,2401.793506365028,2397.5769526245535,2407.7384995769007,2431.1705279202292,2461.7838482657608,2507.767953262438,2564.3687910345116,2629.044123856341,2691.6802941595006,2742.884842317478,2776.6224540868934,2799.7774919261956,2819.406021243743,2845.0269048223045,2879.555450623601,2920.0329721076782,2963.470729647177,3016.753356467895,3073.4962554986746,3124.5392821523137,3153.1803166692275,3156.033475960166,3137.3495274830757,3105.8660378150043,3083.9658953309886,3079.9482701634697,3093.644649401626,3118.9845176767544,3152.4909832419603,3190.551114022197,3225.609744683746,3251.098776258584,3261.3505283578324,3260.2976123266862,3243.773862401102,3220.540853073401,3202.0643181406404,3206.2782654287253,3224.4030811577395,3256.8286203411662,3285.2746658035326
753899,2,"Los Angeles, CA",msa,CA,1832.7303354244168,1845.1700277397288,1860.4908960415037,1873.7386224458457,1888.1482115098052,1899.8926466450944,1913.7168464486058,1924.079462504001,1933.940523382981,1939.3622068070533,1944.5381496586697,1950.7421579270786,1960.777093567551,1972.354469348525,1984.19210032522,1995.28682468917,2008.3317603222968,2021.2182269672753,2030.3514012249914,2035.9803262623348,2040.0119830026433,2038.4891581933098,2037.925436463766,2036.978013435171,2057.6686331706815,2077.9548782322736,2103.965021507052,2116.7130835088046,2129.931836559939,2139.3531347449875,2148.1327190490683,2154.471521143813,2159.231203505934,2160.4872672753163,2164.8012387604153,2169.9313776307904,2181.115751848962,2192.8188133021586,2204.2102104978885,2214.7954805129307,2223.3291620790565,2234.585020090185,2244.138175898649,2253.3080653327274,2258.0018601179195,2262.364704040083,2268.2345166492037,2273.8575286472183,2279.6499556100525,2283.9975586008377,2295.9811819798547,2306.753821981158,2318.6709986623923,2327.204071924829,2335.4771246768996,2341.7196146773535,2345.8466470471494,2347.343766943026,2350.905791576131,2354.293139126298,2362.3745482864347,2366.665228481795,2367.4878673974745,2354.8962735892765,2343.5140661019323,2336.0041992599113,2337.8483510506294,2339.00772808207,2340.124758298786,2342.082735680344,2345.9936093897395,2346.530325183651,2350.235461524308,2356.088268547129,2368.7340939308306,2383.0745937634406,2404.1893102512013,2439.886974780318,2486.698829798577,2540.5123425649017,2580.475536923891,2608.953566861893,2624.807793318295,2644.8588513536356,2664.180821574614,2689.701312457684,2714.6548160305974,2744.354672204794,2773.0711814527936,2797.900864835362,2819.5619421994757,2834.664542622213,2841.5608635875233,2836.703289222556,2827.578146292859,2820.565279345351,2818.309445749181,2824.548166389659,2836.1336561811745,2850.153581823789,2860.002306478858,2870.598909750543,2885.975567866855,2898.9184594868825,2902.9254226128146,2899.606996072946,2887.218346190664,2877.2507524487337,2880.0727943005095,2891.162313560349,2908.5978480635627,2919.873537190155
394463,3,"Chicago, IL",msa,IL,1451.96500969918,1459.6607861230384,1470.951419093027,1480.917264058667,1492.1480926876336,1500.9691222593503,1506.0223753002404,1507.8770571106581,1502.4958229452627,1495.2474006290472,1489.0348601133285,1489.539145202173,1498.07304545534,1506.9310179042263,1518.9881914936261,1527.417360322207,1538.606833574194,1548.487290306924,1555.4546743552435,1559.1286238000243,1551.6732508061086,1537.7882549715878,1520.4067264653509,1509.532365253307,1519.444339757399,1536.6079014400805,1559.1094902258992,1570.5461246908587,1582.4735135887754,1588.47607453852,1590.3717915611983,1585.1034414075793,1578.4534841945847,1567.453674399083,1560.7778414547565,1559.0929027932273,1567.7756847425323,1579.6623286566323,1592.7265372582326,1604.3208001629869,1614.5732098634912,1623.6413926291082,1627.5554267170287,1624.6075455121363,1613.984117240566,1602.3932350635778,1596.0629218195002,1597.2040760713946,1606.8048632619862,1617.7435573770044,1633.522373961229,1646.8552629048913,1658.8220265981447,1666.1944690168814,1669.3190836614983,1669.357683784613,1664.700924965967,1657.244913430888,1649.5467026638776,1644.5033153339853,1653.9054308032366,1666.2492430959874,1681.3428382465074,1682.3939744643658,1681.143842332518,1677.7267360944695,1676.2657751648094,1670.3126186573702,1655.6360866641485,1635.6346806194776,1619.991613606404,1611.47014666171,1610.9400676827834,1618.7970984528633,1637.6058886066953,1665.4192968374987,1693.6219562930585,1717.896189995166,1736.9595573455335,1750.158434451017,1757.4012505527976,1757.854749367759,1758.7085239547541,1765.9555369342215,1780.5740291902262,1799.0963038073926,1820.0870471321925,1843.0957135192548,1867.8212460892826,1887.6267143934779,1905.6584661947381,1913.2530806161978,1915.7974855552038,1913.100990028887,1908.0660268064073,1908.052506392168,1914.7228284308721,1928.1317446743822,1945.1634715430052,1961.8272158727366,1984.6280863285986,2004.839892328552,2018.2988173191563,2026.4207367421623,2024.2008139988675,2016.9486331238556,2008.4480944764894,2011.829250754429,2023.0733206823975,2038.2081879167245,2052.248651591752,2072.4854074434097
394514,4,"Dallas, TX",msa,TX,1113.8467314541376,1119.5022295553213,1127.6615365595428,1138.6144073471928,1148.6250875930534,1157.1291300710918,1164.4177940638815,1167.5030344173836,1168.3997133705266,1168.2111203063519,1170.3031962671118,1173.0819051997346,1174.9479963397328,1180.1570938857758,1189.290504225704,1200.5258559765546,1209.0475810605978,1215.278226846979,1219.147078626791,1221.1799039101747,1219.928426008716,1218.2762315367515,1218.26977314952,1219.0847396327767,1227.583417976792,1235.0949110121555,1248.6634440708092,1256.7122392698873,1269.2818624578535,1275.572312115023,1280.7541445924976,1282.138695060729,1281.5171325495564,1279.6638980462646,1280.732384660994,1281.569348883863,1286.355854093316,1293.0104062974838,1300.5484074540307,1308.2842169299438,1313.2055136689085,1321.831350572041,1326.0206871811813,1327.9234702985368,1324.9526179298382,1326.8337210644916,1327.3966485999547,1329.5442692216488,1331.927294173915,1337.1972223518228,1348.6962960465435,1358.279845015289,1367.203362052714,1373.9926788498844,1377.6232977820969,1380.2653848306452,1379.5881765691677,1379.032389346604,1376.4500745620194,1373.1675646652475,1375.0284921098455,1381.7293267340265,1390.1093890054333,1391.5431913033349,1390.2261031831629,1391.4586649655455,1395.7992195084732,1400.9668343149724,1404.130517643944,1408.4121499839653,1411.8960235282752,1416.315449440197,1418.9218256597208,1424.5286924973273,1434.2482006554978,1454.9245169261706,1483.7218781309853,1517.8869111502916,1552.696911101807,1584.138639963968,1608.534574307411,1623.914355465139,1635.8297577334793,1645.6966947627018,1657.429739635929,1670.1636140048709,1683.4563007525965,1704.3763018066925,1729.0360696538503,1759.5210804266544,1780.794469642442,1788.1434475695107,1783.4909142380232,1771.2414411552593,1761.0206423008233,1752.3805996538847,1751.0386110202548,1753.3397730904817,1761.8137895494938,1766.4577029913842,1775.27477948784,1782.633294426896,1792.4826905291695,1795.5315975529056,1792.8696853368251,1786.5800624003266,1780.1904206426573,1771.5039430549812,1765.7410002671768,1762.1250110352614,1765.87223950393,1771.2066811255008
394692,5,"Houston, TX",msa,TX,1246.6583281711185,1251.092187549316,1258.3072770005372,1270.0935824422752,1280.2764743020505,1289.5480978384555,1292.0349913516243,1292.3522846433666,1287.6655130364177,1282.9936825419077,1279.0579310660492,1277.2929981722586,1278.6098485493683,1280.7512747812023,1286.7112326673885,1291.6942195754755,1295.423320789786,1295.1861611520058,1292.7687964504742,1287.7676008276342,1279.9538961985888,1268.54395264112,1258.1821265131405,1252.6184878719955,1262.263903127267,1276.397619217032,1291.1976434024439,1295.5703023131277,1303.7018954869113,1305.7898552076413,1306.8852790072704,1302.0021608064292,1309.2474126202642,1317.2591005539196,1328.5615319908295,1335.0044863875419,1338.1112318842686,1343.745851422505,1344.5458450949704,1352.2699340217853,1354.3671542751715,1360.1822852127011,1359.9728493182283,1359.115151236628,1354.7091378136759,1353.6108360492135,1355.4810851002094,1356.1097457158587,1358.6788389164096,1358.209461240236,1364.7890641633321,1369.616096952538,1378.5088741791199,1384.802851399958,1388.2669315185049,1387.5403321890176,1384.3877689136366,1384.0373159399621,1384.4228780105545,1388.2656364129937,1391.1328768085914,1397.6118391668078,1402.8156913571872,1399.7890838344,1393.101134366625,1387.265080191342,1391.7443345331474,1396.9890565913722,1398.4924728244537,1401.1551668996613,1404.2451450650065,1406.1224611966622,1406.2851108616378,1402.6305331694268,1408.931969145878,1421.4767762843378,1445.907155158267,1474.2219934799532,1501.1052931811444,1524.2092757622586,1537.542131038895,1545.9413611677737,1550.889287520994,1555.7418625109285,1562.4659390927663,1571.5187432570883,1581.6103531853737,1594.7615599295314,1608.1212681016923,1624.692963363838,1636.5059786329014,1643.48744749961,1640.7650464856722,1636.821207695138,1631.7645269531397,1630.1240802668067,1633.2438308217186,1640.5083283117424,1650.6573595308018,1657.0651119367656,1666.9806757742347,1676.3326841624848,1685.2893279923974,1687.6406629538742,1685.737710733668,1680.6896876673623,1675.472134180521,1673.9263842761736,1675.5490571628018,1679.617689065127,1683.9099646779503,1692.4969785317069
395209,6,"Washington, DC",msa,VA,1724.2598294255895,1730.8418928023998,1742.467219177841,1750.6231176573428,1760.501503121065,1767.3372779020078,1771.223188476798,1768.5919714784277,1767.8492844132004,1763.4626157572432,1763.1349526399501,1758.7839863968916,1761.39857169077,1765.5256771547206,1772.420040586207,1781.2426210341237,1791.5080892265646,1800.2949617782906,1803.6319574249699,1802.7616519198823,1798.8480408860273,1789.0313664002742,1782.767396817779,1777.0620716614142,1785.443254350937,1798.0456868144447,1813.7394828195283,1824.8108559599864,1830.7498704421341,1837.5370335008442,1840.7404135034176,1839.9836599937628,1838.0621891475723,1832.6687716662568,1827.7519993140284,1824.1584911500165,1828.4449783471896,1834.9008558565017,1847.273754144603,1858.679248170228,1869.9965934586326,1878.0998272748775,1883.1092249305175,1886.484061470551,1882.1353110690561,1878.712307896188,1879.7702827347082,1884.1279786398388,1889.4649244725103,1895.5370029825065,1905.2477016752428,1915.9235136796335,1926.6825146377014,1935.8443273126807,1941.3132330265448,1943.2079350106803,1942.6440411134781,1936.9950094680737,1930.9306588479708,1932.0583151937985,1941.4402547261682,1950.1822124905639,1959.483793890438,1957.8730889133485,1955.9894160803808,1949.3550579967546,1947.883276811137,1944.1059806403728,1933.4980248576373,1918.8179675504894,1901.62414916608,1886.931996585933,1883.243228930841,1887.6186198752707,1898.476187273647,1916.5257300306102,1944.9474950262575,1982.9402069351613,2019.9400587974762,2050.5873794292256,2070.544865813938,2080.274504800961,2080.9753769983913,2081.787088262364,2084.1446744594778,2096.356036116484,2113.806084147631,2138.925578218466,2165.0807938897797,2191.232140970624,2215.388904465683,2226.1900839257933,2226.4256674114417,2210.765243090478,2194.1210293615254,2180.832331915286,2179.100481753504,2188.5247478425226,2204.9832975138474,2222.9777994038855,2242.6930394664473,2260.6787655600083,2277.8933861838295,2289.8206322207857,2295.070805379571,2294.2902985770424,2288.1065807346795,2280.731723319496,2281.541654716546,2294.543677059256,2317.524274148277,2339.2554445610444
394974,7,"Philadelphia, PA",msa,PA,1265.0348363654145,1271.6521746990059,1284.5694104682943,1292.2219817179255,1298.71465947843,1300.7784573089152,1302.9505220594924,1303.4808149577398,1303.1207847332694,1301.5859970758272,1297.0924005325476,1292.2472453250891,1292.9742111027583,1302.8453283244364,1314.6333150438898,1326.6379541188373,1333.928280514638,1340.921833009045,1340.9159257880742,1340.6671764170267,1336.6642463777653,1331.4558496803493,1332.7743725152002,1332.1788199099335,1340.3440813516033,1344.3973672561865,1357.0348161263091,1364.1923740203756,1370.3622309582572,1370.7475344418754,1371.7243076743353,1372.2589738543327,1372.5267870169043,1371.2548527910515,1369.8553771056402,1372.2866542631168,1376.0753036780368,1384.6255764774448,1395.1329723680187,1405.1023064451526,1413.2791848728048,1417.6073709402774,1418.8264118415889,1417.77600676801,1416.4055320660211,1418.237523694704,1420.9669545146976,1420.447233473695,1424.294238635867,1432.3959001100684,1446.5866190651363,1457.4763004983388,1463.9190214151424,1471.2130811161785,1474.850639443178,1475.4772986173525,1471.433202045475,1471.3907424226882,1472.155224118268,1476.4909604625204,1479.0079140258742,1489.1180107243802,1499.0930727758214,1503.5611650683713,1502.7390364608211,1503.1512240711495,1508.1572039755022,1508.110169525714,1508.1463104248137,1510.1041453975622,1515.1711868591335,1517.3007147817602,1517.5997225053995,1521.9147388818585,1531.1833162369865,1549.3273480614882,1570.4304565144416,1591.6860038657603,1609.7625178340345,1627.3501292131568,1641.429686069663,1652.6624194157114,1661.86005912275,1674.6255298129706,1685.7609739799743,1697.782297695784,1706.8802431554348,1720.347302869275,1734.3487987479139,1749.320673264484,1762.0980362732164,1768.5572950253222,1772.6363164569166,1768.519796520985,1767.2067418787155,1762.6886083757695,1765.914878787175,1766.7982732507926,1775.3586180127822,1783.4340883263765,1795.158328089511,1800.629701678757,1809.473815332598,1818.5613839766427,1831.9728075188852,1838.5383611233535,1839.3241787973982,1833.094441295693,1832.896030944169,1839.5484917447957,1849.792050665738,1857.3073351061828
394856,8,"Miami, FL",msa,FL,1536.5763401104623,1543.5896408647047,1549.30509678114,1556.1705734226928,1565.6773108904881,1575.4124724061621,1584.9792362734008,1592.550133949171,1603.8687194497454,1612.4476906902114,1620.8918769176485,1623.915156385944,1628.0928184836625,1629.1154873646917,1631.8387234189365,1633.857997451409,1635.9511397872907,1636.4984431948117,1637.1684229683365,1640.2494981962907,1645.6700485653341,1647.8299845749762,1650.6087312785423,1648.3675449967084,1652.7731192360102,1655.1456585380422,1662.9144538571618,1665.2254475008294,1668.4155997560488,1672.3436204677491,1679.1621377240756,1686.119743021562,1692.285154896764,1698.251183022437,1700.4821171810581,1702.2072982314082,1703.1447295928251,1706.4491359601898,1710.6856574852377,1715.160265299084,1719.4309304072008,1724.8151700419344,1731.3860719778863,1738.3394400914922,1743.895139868047,1750.1676620682283,1756.7600894549346,1762.4257827926087,1762.5465410765182,1762.3509278390013,1762.6515204253926,1766.2324039198484,1769.7080648824513,1774.7072899594173,1780.2661081535568,1786.1599612036846,1792.7908127732337,1801.937821590308,1812.1810042656443,1819.740575052676,1822.2934480290148,1825.141622648811,1825.419890748482,1818.6542277119318,1808.6874287381602,1807.0469938787282,1813.0665572731555,1819.5748709670443,1825.0817852101811,1840.0681109785291,1859.936512291641,1877.9770370299823,1894.3443598570502,1916.7606414349418,1943.6697888530748,1976.043745313802,2019.4602267866048,,,2216.6303379608557,2277.2405522623467,2325.753196169237,2373.3024807336014,2422.0032648729652,2469.395844038689,2504.381071583169,2547.2143171348075,2585.5200044300955,2626.8986460413694,2650.518023877644,2673.2609120189686,2682.1608597247146,2690.467799342597,2696.808413517928,2705.382735695685,2710.168372977339,2707.0359815763372,2707.021217796682,2710.1110554518878,2717.6900674544627,2727.8472841154285,2738.238442700283,2749.75117097149,2757.3131597517413,2765.642070443464,2776.217688697563,2782.215421453111,2776.2233003812194,2773.1816391730868,2775.951814489712,2785.1517200889625,2790.814820701982
394347,9,"Atlanta, GA",msa,GA,1064.132512859527,1069.516826469,1073.0633908996654,1084.0846143741198,1092.043843485603,1103.3844975028035,1109.982245256495,1113.9975024451314,1115.248149062129,1114.6138744371722,1115.1827164805936,1118.677387515447,1123.5373008475933,1131.1503048273473,1139.3439671938384,1148.3558328945019,1157.373203318216,1165.3967473171158,1173.1033179507524,1177.2094283341041,1178.2956863526422,1176.7561440270192,1175.8715955714845,1177.7537076273109,1183.4127797243661,1193.6370508568182,1205.8199452620013,1218.1485640166761,1230.219044304835,1240.5737072405955,1249.4697245202944,1253.3080245021856,1255.1232723397236,1252.873971101211,1253.7866944599837,1256.0636724072926,1262.9997461026526,1271.8477891660737,1283.207971678114,1295.6027630241729,1307.659709472181,1316.7059829855828,1322.3201566015273,1324.5715742380387,1325.6193175289948,1331.5321385282043,1336.5926375426197,1341.3303461485432,1346.1063085619903,1354.3603713258703,1367.3845815463178,1379.354810543756,1389.895870862634,1398.706202484821,1403.6998795466257,1408.3907173080609,1411.0921107484994,1411.1029211850873,1408.7247325805117,1408.0732468038525,1412.2081589631964,1420.6667197663085,1429.3099344744717,1433.595492645538,1437.464747199134,1444.7027292349221,1459.1019805319545,1472.9006534947373,1483.5442478881105,1491.552761066484,1498.9122827515957,1506.2418804419244,1517.657691779138,1533.7787093377115,1553.6448665560565,1578.3214194120244,1609.3534493597958,1651.46383350911,1694.4272144991498,1739.1380790861795,1768.604563400799,1789.7142426850373,1796.6372027638115,1801.1970107087627,1805.2174671513517,1812.8829880278818,1826.5233083645796,1841.964641203572,1863.8542952201246,1887.4685292273473,1912.4522037050283,1923.7657851353265,1927.1719172064418,1918.5757078664224,1909.4573351616423,1903.2184545869861,1901.0094889993986,1905.1482493351127,1912.3766232990179,1921.3329563244022,1928.712511784581,1930.5914595095546,1935.078845156574,1937.5135090141941,1939.0042530008975,1931.2234215669744,1918.375122466353,1908.695355718415,1911.1270605297987,1919.1473260834907,1923.720964369071,1928.3246906190143
